Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
326,Takumi Minamino,JPN,MFFW,Southampton,25,1995,10,9,711,7.9,2,0,2,0,0,1,0,0.25,0,0.25,0.25,0.25,1.2,1.2,0.5,1.7,0.15,0.07,0.22,0.15,0.22,Matches
327,Tyrone Mings,ENG,DF,Aston Villa,27,1993,36,36,3194,35.5,2,2,2,0,0,6,1,0.06,0.06,0.11,0.06,0.11,1.9,1.9,0.6,2.5,0.05,0.02,0.07,0.05,0.07,Matches
328,Tyrick Mitchell,ENG,DF,Crystal Palace,20,1999,19,19,1710,19,1,1,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04,Matches
329,Aleksandar Mitrović,SRB,FW,Fulham,25,1994,27,13,1402,15.6,3,3,2,1,2,3,0,0.19,0.19,0.39,0.13,0.32,6.5,5,2.6,7.6,0.42,0.17,0.59,0.32,0.49,Matches
330,Jakub Moder,POL,DFMF,Brighton,21,1999,12,7,647,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1,0.12,0.02,0.14,0.12,0.14,Matches
331,Jayson Molumby,IRL,MF,Brighton,20,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Wesley Moraes,BRA,MFFW,Aston Villa,23,1996,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
333,Wes Morgan,JAM,DF,Leicester City,36,1984,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Mason Mount,ENG,MFFW,Chelsea,21,1999,36,32,2890,32.1,6,5,5,1,1,2,0,0.19,0.16,0.34,0.16,0.31,6.8,6,7.8,13.8,0.21,0.24,0.45,0.19,0.43,Matches
335,Lucas Moura,BRA,FWMF,Tottenham,27,1992,30,14,1411,15.7,3,4,3,0,0,1,0,0.19,0.26,0.45,0.19,0.45,2.2,2.2,2.3,4.5,0.14,0.14,0.29,0.14,0.29,Matches
336,Lys Mousset,FRA,FWMF,Sheffield Utd,24,1996,11,2,296,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,0.22,0.1,0.32,0.22,0.32,Matches
337,João Moutinho,POR,MF,Wolves,33,1986,33,28,2528,28.1,1,1,1,0,0,5,1,0.04,0.04,0.07,0.04,0.07,0.7,0.7,2.6,3.3,0.02,0.09,0.12,0.02,0.12,Matches
338,Joel Mumbongo,SWE,FW,Burnley,21,1999,4,0,40,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Jacob Murphy,ENG,DFMF,Newcastle Utd,25,1995,26,17,1626,18.1,2,3,2,0,0,3,0,0.11,0.17,0.28,0.11,0.28,1.2,1.2,2.4,3.6,0.07,0.13,0.2,0.07,0.2,Matches
340,Shkodran Mustafi,GER,DF,Arsenal,28,1992,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Marvelous Nakamba,ZIM,MF,Aston Villa,26,1994,13,9,749,8.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.1,0,0,0.01,0,0.01,Matches
342,Iliman Ndiaye,FRA,MF,Sheffield Utd,21,1999,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Wilfred Ndidi,NGA,MFDF,Leicester City,23,1996,26,25,2176,24.2,1,4,1,0,0,6,0,0.04,0.17,0.21,0.04,0.21,0.8,0.8,1.5,2.2,0.03,0.06,0.09,0.03,0.09,Matches
344,Tanguy Ndombele,FRA,MF,Tottenham,23,1996,33,28,2091,23.2,3,2,3,0,0,3,0,0.13,0.09,0.22,0.13,0.22,1.4,1.4,2.4,3.8,0.06,0.1,0.16,0.06,0.16,Matches
345,Reiss Nelson,ENG,FW,Arsenal,20,1999,2,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
346,Pedro Neto,POR,FWMF,Wolves,20,2000,31,30,2550,28.3,5,6,5,0,0,4,0,0.18,0.21,0.39,0.18,0.39,4.8,4.8,6.2,11,0.17,0.22,0.39,0.17,0.39,Matches
347,Rúben Neves,POR,MF,Wolves,23,1997,36,31,2675,29.7,5,1,2,3,3,8,0,0.17,0.03,0.2,0.07,0.1,5.1,2.9,2.1,5,0.17,0.07,0.24,0.1,0.17,Matches
348,Eddie Nketiah,ENG,FW,Arsenal,21,1999,17,4,423,4.7,2,1,2,0,0,0,0,0.43,0.21,0.64,0.43,0.64,2.4,2.4,0.8,3.3,0.52,0.18,0.7,0.52,0.7,Matches
349,Niels Nkounkou,FRA,DFFW,Everton,19,2000,2,1,81,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
350,Dan Nlundulu,ENG,FW,Southampton,21,1999,13,0,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0.02,0.1,0.08,0.1,Matches
351,Mark Noble,ENG,MF,West Ham,33,1987,21,8,712,7.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.03,0,0.03,Matches
352,Will Norris,ENG,GK,Burnley,26,1993,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.04,0,0.04,Matches
353,Oliver Norwood,NIR,MF,Sheffield Utd,29,1991,32,26,2220,24.7,0,0,0,0,0,6,0,0,0,0,0,0,0.5,0.5,1.7,2.1,0.02,0.07,0.09,0.02,0.09,Matches
354,Jack O'Connell,ENG,DF,Sheffield Utd,26,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
355,Dara O'Shea,IRL,DF,West Brom,21,1999,28,25,2102,23.4,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.01,0.01,0.01,0.01,0.01,Matches
356,Michael Obafemi,IRL,FW,Southampton,20,2000,4,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.16,0.16,0,0.16,Matches
357,Denis Odoi,BEL,DF,Fulham,32,1988,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
358,Angelo Ogbonna,ITA,DF,West Ham,32,1988,28,28,2492,27.7,3,0,3,0,0,5,0,0.11,0,0.11,0.11,0.11,1.5,1.5,1,2.5,0.05,0.04,0.09,0.05,0.09,Matches
359,Robin Olsen,SWE,GK,Everton,30,1990,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Josh Onomah,ENG,MF,Fulham,23,1997,11,4,374,4.2,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.15,0.01,0.17,0.15,0.17,Matches
361,Divock Origi,BEL,FW,Liverpool,25,1995,9,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.47,0.11,0.58,0.47,0.58,Matches
362,Ben Osborn,ENG,MFDF,Sheffield Utd,25,1994,24,17,1604,17.8,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches
363,Owen Otasowie,USA,MFFW,Wolves,19,2001,6,2,187,2.1,0,1,0,0,0,1,0,0,0.48,0.48,0,0.48,0.6,0.6,0.1,0.7,0.27,0.07,0.34,0.27,0.34,Matches
364,Alex Oxlade-Chamberlain,ENG,FWMF,Liverpool,26,1993,13,2,253,2.8,1,1,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71,0.4,0.4,0.2,0.6,0.13,0.08,0.21,0.13,0.21,Matches
365,Emerson Palmieri,ITA,DF,Chelsea,25,1994,2,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Thomas Partey,GHA,MF,Arsenal,27,1993,24,18,1534,17,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,1.3,1.3,1,2.3,0.08,0.06,0.14,0.08,0.14,Matches
367,Rui Patrício,POR,GK,Wolves,32,1988,37,37,3329,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Bailey Peacock-Farrell,NIR,GK,Burnley,23,1996,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
