,Date,Home,Away,Bet
216,2013-02-24,Independiente,Racing Club,0.0
217,2013-02-24,Belgrano,Colon Santa FE,0.0
218,2013-02-24,River Plate,Tigre,1.67
219,2013-02-26,San Martin S.J.,Newells Old Boys,2.98
220,2013-01-03,Quilmes,Atl. Rafaela,0.0
221,2013-02-03,Newells Old Boys,Belgrano,1.98
222,2013-02-03,Colon Santa FE,Estudiantes L.P.,3.06
223,2013-02-03,Arsenal Sarandi,Independiente,0.0
224,2013-03-03,Godoy Cruz,Argentinos Jrs,0.0
225,2013-03-03,San Lorenzo,River Plate,0.0
226,2013-03-03,Tigre,All Boys,0.0
227,2013-03-03,Racing Club,Lanus,2.98
228,2013-03-03,Boca Juniors,Union de Santa Fe,0.0
229,2013-05-03,Velez Sarsfield,San Martin S.J.,1.54
230,2013-08-03,Belgrano,Velez Sarsfield,0.0
231,2013-09-03,Independiente,Godoy Cruz,0.0
232,2013-09-03,Union de Santa Fe,All Boys,3.03
233,2013-09-03,Estudiantes L.P.,Newells Old Boys,0.0
234,2013-09-03,San Martin S.J.,Racing Club,0.0
235,2013-10-03,San Lorenzo,Tigre,0.0
236,2013-10-03,River Plate,Colon Santa FE,1.75
237,2013-10-03,Atl. Rafaela,Boca Juniors,3.06
238,2013-11-03,Lanus,Arsenal Sarandi,1.72
239,2013-12-03,Argentinos Jrs,Quilmes,0.0
240,2013-03-16,Tigre,Union de Santa Fe,0.0
241,2013-03-16,Colon Santa FE,San Lorenzo,0.0
242,2013-03-16,Quilmes,Independiente,3.09
243,2013-03-17,Godoy Cruz,Lanus,0.0
244,2013-03-17,Newells Old Boys,River Plate,0.0
245,2013-03-17,Racing Club,Belgrano,0.0
246,2013-03-17,Velez Sarsfield,Estudiantes L.P.,0.0
247,2013-03-17,Boca Juniors,Argentinos Jrs,0.0
248,2013-03-18,Arsenal Sarandi,San Martin S.J.,1.73
249,2013-03-19,All Boys,Atl. Rafaela,0.0
250,2013-03-29,Colon Santa FE,Tigre,2.16
251,2013-03-30,Belgrano,Arsenal Sarandi,2.98
252,2013-03-30,Argentinos Jrs,All Boys,0.0
253,2013-03-30,River Plate,Velez Sarsfield,3.03
254,2013-03-30,Estudiantes L.P.,Racing Club,0.0
255,2013-03-31,Independiente,Boca Juniors,3.03
256,2013-03-31,San Martin S.J.,Godoy Cruz,0.0
257,2013-03-31,Atl. Rafaela,Union de Santa Fe,2.03
258,2013-03-31,San Lorenzo,Newells Old Boys,0.0
259,2013-01-04,Lanus,Quilmes,0.0
260,2013-06-04,All Boys,Independiente,0.0
261,2013-06-04,Tigre,Atl. Rafaela,0.0
262,2013-06-04,Velez Sarsfield,San Lorenzo,0.0
263,2013-06-04,Union de Santa Fe,Argentinos Jrs,3.04
264,2013-06-04,Godoy Cruz,Belgrano,2.99
265,2013-07-04,Quilmes,San Martin S.J.,0.0
266,2013-07-04,Racing Club,River Plate,0.0
267,2013-07-04,Newells Old Boys,Colon Santa FE,0.0
268,2013-08-04,Boca Juniors,Lanus,3.03
269,2013-09-04,Arsenal Sarandi,Estudiantes L.P.,0.0
270,2013-12-04,Independiente,Union de Santa Fe,0.0
271,2013-04-13,Argentinos Jrs,Atl. Rafaela,3.06
272,2013-04-13,San Martin S.J.,Boca Juniors,0.0
273,2013-04-13,San Lorenzo,Racing Club,0.0
274,2013-04-14,Lanus,All Boys,1.58
275,2013-04-14,Estudiantes L.P.,Godoy Cruz,0.0
276,2013-04-14,Colon Santa FE,Velez Sarsfield,0.0
277,2013-04-14,Newells Old Boys,Tigre,1.79
278,2013-04-15,River Plate,Arsenal Sarandi,0.0
279,2013-04-16,Belgrano,Quilmes,2.06
280,2013-04-19,Velez Sarsfield,Newells Old Boys,0.0
281,2013-04-20,Racing Club,Colon Santa FE,0.0
282,2013-04-20,All Boys,San Martin S.J.,0.0
283,2013-04-21,Quilmes,Estudiantes L.P.,0.0
284,2013-04-21,Atl. Rafaela,Independiente,0.0
285,2013-04-21,Arsenal Sarandi,San Lorenzo,0.0
286,2013-04-21,Boca Juniors,Belgrano,2.98
287,2013-04-22,Godoy Cruz,River Plate,0.0
288,2013-04-22,Union de Santa Fe,Lanus,0.0
289,2013-04-23,Tigre,Argentinos Jrs,0.0
290,2013-04-27,Estudiantes L.P.,Boca Juniors,2.02
291,2013-04-27,San Lorenzo,Godoy Cruz,0.0
292,2013-04-27,Colon Santa FE,Arsenal Sarandi,2.11
293,2013-04-28,San Martin S.J.,Union de Santa Fe,2.0
294,2013-04-28,Independiente,Argentinos Jrs,2.09
295,2013-04-28,Newells Old Boys,Racing Club,1.91
296,2013-04-29,River Plate,Quilmes,0.0
297,2013-04-29,Belgrano,All Boys,0.0
298,2013-04-30,Lanus,Atl. Rafaela,0.0
299,2013-03-05,Godoy Cruz,Colon Santa FE,0.0
300,2013-04-05,Quilmes,San Lorenzo,0.0
301,2013-04-05,Union de Santa Fe,Belgrano,2.95
302,2013-04-05,Argentinos Jrs,Lanus,1.91
303,2013-05-05,Racing Club,Velez Sarsfield,2.98
304,2013-05-05,Tigre,Independiente,0.0
305,2013-05-05,Boca Juniors,River Plate,2.98
306,2013-06-05,Atl. Rafaela,San Martin S.J.,2.15
307,2013-06-05,All Boys,Estudiantes L.P.,2.95
308,2013-07-05,Arsenal Sarandi,Newells Old Boys,0.0
309,2013-09-05,Velez Sarsfield,Tigre,0.0
310,2013-11-05,Belgrano,Atl. Rafaela,0.0
311,2013-11-05,San Lorenzo,Boca Juniors,1.91
312,2013-11-05,Newells Old Boys,Godoy Cruz,1.78
313,2013-11-05,Velez Sarsfield,Arsenal Sarandi,2.95
314,2013-12-05,Racing Club,Tigre,1.84
315,2013-12-05,Lanus,Independiente,0.0
316,2013-12-05,San Martin S.J.,Argentinos Jrs,1.98
317,2013-12-05,Colon Santa FE,Quilmes,0.0
318,2013-05-13,River Plate,All Boys,1.79
319,2013-05-14,Estudiantes L.P.,Union de Santa Fe,1.82
320,2013-05-18,Arsenal Sarandi,Racing Club,0.0
321,2013-05-18,Atl. Rafaela,Estudiantes L.P.,0.0
322,2013-05-18,Godoy Cruz,Velez Sarsfield,0.0
323,2013-05-18,Quilmes,Newells Old Boys,2.95
324,2013-05-19,Boca Juniors,Colon Santa FE,0.0
325,2013-05-19,Independiente,San Martin S.J.,2.07
326,2013-05-19,Union de Santa Fe,River Plate,0.0
327,2013-05-20,All Boys,San Lorenzo,0.0
328,2013-05-20,Argentinos Jrs,Belgrano,0.0
329,2013-05-21,Tigre,Lanus,0.0
330,2013-05-24,Colon Santa FE,All Boys,2.08
331,2013-05-25,Velez Sarsfield,Quilmes,2.08
332,2013-05-26,Belgrano,Independiente,2.99
333,2013-05-26,Racing Club,Godoy Cruz,0.0
334,2013-05-26,San Martin S.J.,Lanus,0.0
335,2013-05-26,River Plate,Atl. Rafaela,1.61
336,2013-05-27,Newells Old Boys,Boca Juniors,1.62
337,2013-05-27,Arsenal Sarandi,Tigre,1.85
338,2013-05-27,Estudiantes L.P.,Argentinos Jrs,0.0
339,2013-05-28,San Lorenzo,Union de Santa Fe,1.51
340,2013-01-06,Quilmes,Racing Club,1.52
341,2013-01-06,Independiente,Estudiantes L.P.,0.0
342,2013-01-06,Godoy Cruz,Arsenal Sarandi,2.14
343,2013-02-06,Atl. Rafaela,San Lorenzo,3.05
344,2013-02-06,Union de Santa Fe,Colon Santa FE,0.0
345,2013-02-06,Lanus,Belgrano,0.0
346,2013-02-06,Boca Juniors,Velez Sarsfield,2.98
347,2013-03-06,Argentinos Jrs,River Plate,0.0
348,2013-03-06,Tigre,San Martin S.J.,0.0
349,2013-04-06,All Boys,Newells Old Boys,0.0
350,2013-08-06,Belgrano,San Martin S.J.,0.0
351,2013-08-06,Arsenal Sarandi,Quilmes,0.0
352,2013-08-06,Godoy Cruz,Tigre,0.0
353,2013-09-06,River Plate,Independiente,1.79
354,2013-09-06,Colon Santa FE,Atl. Rafaela,3.03
355,2013-10-06,Racing Club,Boca Juniors,0.0
356,2013-10-06,Newells Old Boys,Union de Santa Fe,1.28
357,2013-11-06,San Lorenzo,Argentinos Jrs,0.0
358,2013-12-06,Velez Sarsfield,All Boys,0.0
359,2013-06-15,Tigre,Belgrano,3.07
360,2013-06-15,Argentinos Jrs,Colon Santa FE,1.88
361,2013-06-15,Independiente,San Lorenzo,0.0
362,2013-06-15,San Martin S.J.,Estudiantes L.P.,1.95
363,2013-06-16,Union de Santa Fe,Velez Sarsfield,0.0
364,2013-06-16,All Boys,Racing Club,0.0
365,2013-06-16,Atl. Rafaela,Newells Old Boys,1.88
366,2013-06-16,Boca Juniors,Arsenal Sarandi,1.97
367,2013-06-17,Lanus,River Plate,0.0
368,2013-06-18,Quilmes,Godoy Cruz,0.0
369,2013-06-19,Estudiantes L.P.,Lanus,0.0
370,2013-06-22,Racing Club,Union de Santa Fe,1.52
371,2013-06-22,Estudiantes L.P.,Belgrano,2.96
372,2013-06-22,Tigre,Quilmes,0.0
373,2013-06-23,Colon Santa FE,Independiente,0.0
374,2013-06-23,Newells Old Boys,Argentinos Jrs,0.0
375,2013-06-23,River Plate,San Martin S.J.,0.0
376,2013-06-23,Velez Sarsfield,Atl. Rafaela,2.12
377,2013-06-23,Arsenal Sarandi,All Boys,1.95
378,2013-06-23,San Lorenzo,Lanus,3.1
379,2013-06-24,Godoy Cruz,Boca Juniors,0.0
380,2013-06-29,Velez Sarsfield,Newells Old Boys,0.0
381,2013-02-08,Godoy Cruz,Argentinos Jrs,1.82
382,2013-03-08,Arsenal Sarandi,Estudiantes L.P.,2.88
383,2013-03-08,All Boys,Atl. Rafaela,0.0
384,2013-03-08,Tigre,Velez Sarsfield,0.0
385,2013-04-08,Colon Santa FE,Racing Club,3.01
386,2013-04-08,San Lorenzo,Olimpo Bahia Blanca,1.57
387,2013-04-08,Lanus,Belgrano,1.81
388,2013-04-08,Gimnasia L.P.,River Plate,0.0
389,2013-05-08,Rosario Central,Quilmes,1.82
390,2013-07-08,Argentinos Jrs,Colon Santa FE,0.0
391,2013-07-08,Belgrano,Boca Juniors,0.0
392,2013-08-08,Estudiantes L.P.,All Boys,1.9
393,2013-08-08,Atl. Rafaela,Lanus,0.0
394,2013-08-08,Quilmes,Godoy Cruz,0.0
395,2013-09-08,Velez Sarsfield,Arsenal Sarandi,0.0
396,2013-09-08,Olimpo Bahia Blanca,Tigre,3.05
397,2013-09-08,Racing Club,San Lorenzo,0.0
398,2013-10-08,River Plate,Rosario Central,2.0
399,2013-08-13,Boca Juniors,Newells Old Boys,0.0
400,2013-08-16,Arsenal Sarandi,Olimpo Bahia Blanca,1.92
