,Date,Home,Away
301,2013-04-05,Union de Santa Fe,Belgrano
302,2013-04-05,Argentinos Jrs,Lanus
303,2013-05-05,Racing Club,Velez Sarsfield
304,2013-05-05,Tigre,Independiente
305,2013-05-05,Boca Juniors,River Plate
306,2013-06-05,Atl. Rafaela,San Martin S.J.
307,2013-06-05,All Boys,Estudiantes L.P.
308,2013-07-05,Arsenal Sarandi,Newells Old Boys
309,2013-09-05,Velez Sarsfield,Tigre
310,2013-11-05,Belgrano,Atl. Rafaela
311,2013-11-05,San Lorenzo,Boca Juniors
312,2013-11-05,Newells Old Boys,Godoy Cruz
313,2013-11-05,Velez Sarsfield,Arsenal Sarandi
314,2013-12-05,Racing Club,Tigre
315,2013-12-05,Lanus,Independiente
316,2013-12-05,San Martin S.J.,Argentinos Jrs
317,2013-12-05,Colon Santa FE,Quilmes
318,2013-05-13,River Plate,All Boys
319,2013-05-14,Estudiantes L.P.,Union de Santa Fe
320,2013-05-18,Arsenal Sarandi,Racing Club
321,2013-05-18,Atl. Rafaela,Estudiantes L.P.
322,2013-05-18,Godoy Cruz,Velez Sarsfield
323,2013-05-18,Quilmes,Newells Old Boys
324,2013-05-19,Boca Juniors,Colon Santa FE
325,2013-05-19,Independiente,San Martin S.J.
326,2013-05-19,Union de Santa Fe,River Plate
327,2013-05-20,All Boys,San Lorenzo
328,2013-05-20,Argentinos Jrs,Belgrano
329,2013-05-21,Tigre,Lanus
330,2013-05-24,Colon Santa FE,All Boys
331,2013-05-25,Velez Sarsfield,Quilmes
332,2013-05-26,Belgrano,Independiente
333,2013-05-26,Racing Club,Godoy Cruz
334,2013-05-26,San Martin S.J.,Lanus
335,2013-05-26,River Plate,Atl. Rafaela
336,2013-05-27,Newells Old Boys,Boca Juniors
337,2013-05-27,Arsenal Sarandi,Tigre
338,2013-05-27,Estudiantes L.P.,Argentinos Jrs
339,2013-05-28,San Lorenzo,Union de Santa Fe
340,2013-01-06,Quilmes,Racing Club
341,2013-01-06,Independiente,Estudiantes L.P.
342,2013-01-06,Godoy Cruz,Arsenal Sarandi
343,2013-02-06,Atl. Rafaela,San Lorenzo
344,2013-02-06,Union de Santa Fe,Colon Santa FE
345,2013-02-06,Lanus,Belgrano
346,2013-02-06,Boca Juniors,Velez Sarsfield
347,2013-03-06,Argentinos Jrs,River Plate
348,2013-03-06,Tigre,San Martin S.J.
349,2013-04-06,All Boys,Newells Old Boys
350,2013-08-06,Belgrano,San Martin S.J.
351,2013-08-06,Arsenal Sarandi,Quilmes
352,2013-08-06,Godoy Cruz,Tigre
353,2013-09-06,River Plate,Independiente
354,2013-09-06,Colon Santa FE,Atl. Rafaela
355,2013-10-06,Racing Club,Boca Juniors
356,2013-10-06,Newells Old Boys,Union de Santa Fe
357,2013-11-06,San Lorenzo,Argentinos Jrs
358,2013-12-06,Velez Sarsfield,All Boys
359,2013-06-15,Tigre,Belgrano
360,2013-06-15,Argentinos Jrs,Colon Santa FE
361,2013-06-15,Independiente,San Lorenzo
362,2013-06-15,San Martin S.J.,Estudiantes L.P.
363,2013-06-16,Union de Santa Fe,Velez Sarsfield
364,2013-06-16,All Boys,Racing Club
365,2013-06-16,Atl. Rafaela,Newells Old Boys
366,2013-06-16,Boca Juniors,Arsenal Sarandi
367,2013-06-17,Lanus,River Plate
368,2013-06-18,Quilmes,Godoy Cruz
369,2013-06-19,Estudiantes L.P.,Lanus
370,2013-06-22,Racing Club,Union de Santa Fe
371,2013-06-22,Estudiantes L.P.,Belgrano
372,2013-06-22,Tigre,Quilmes
373,2013-06-23,Colon Santa FE,Independiente
374,2013-06-23,Newells Old Boys,Argentinos Jrs
375,2013-06-23,River Plate,San Martin S.J.
376,2013-06-23,Velez Sarsfield,Atl. Rafaela
377,2013-06-23,Arsenal Sarandi,All Boys
378,2013-06-23,San Lorenzo,Lanus
379,2013-06-24,Godoy Cruz,Boca Juniors
380,2013-06-29,Velez Sarsfield,Newells Old Boys
381,2013-02-08,Godoy Cruz,Argentinos Jrs
382,2013-03-08,Arsenal Sarandi,Estudiantes L.P.
383,2013-03-08,All Boys,Atl. Rafaela
384,2013-03-08,Tigre,Velez Sarsfield
385,2013-04-08,Colon Santa FE,Racing Club
386,2013-04-08,San Lorenzo,Olimpo Bahia Blanca
387,2013-04-08,Lanus,Belgrano
388,2013-04-08,Gimnasia L.P.,River Plate
389,2013-05-08,Rosario Central,Quilmes
390,2013-07-08,Argentinos Jrs,Colon Santa FE
391,2013-07-08,Belgrano,Boca Juniors
392,2013-08-08,Estudiantes L.P.,All Boys
393,2013-08-08,Atl. Rafaela,Lanus
394,2013-08-08,Quilmes,Godoy Cruz
395,2013-09-08,Velez Sarsfield,Arsenal Sarandi
396,2013-09-08,Olimpo Bahia Blanca,Tigre
397,2013-09-08,Racing Club,San Lorenzo
398,2013-10-08,River Plate,Rosario Central
399,2013-08-13,Boca Juniors,Newells Old Boys
400,2013-08-16,Arsenal Sarandi,Olimpo Bahia Blanca
401,2013-08-17,Colon Santa FE,Quilmes
402,2013-08-17,Gimnasia L.P.,Rosario Central
403,2013-08-18,San Lorenzo,Argentinos Jrs
404,2013-08-18,Newells Old Boys,Belgrano
405,2013-08-18,Tigre,Racing Club
406,2013-08-18,Boca Juniors,Atl. Rafaela
407,2013-08-19,Godoy Cruz,River Plate
408,2013-08-19,All Boys,Velez Sarsfield
409,2013-08-20,Lanus,Estudiantes L.P.
410,2013-08-23,Belgrano,Gimnasia L.P.
411,2013-08-23,Atl. Rafaela,Newells Old Boys
412,2013-08-24,Racing Club,Arsenal Sarandi
413,2013-08-24,Velez Sarsfield,Lanus
414,2013-08-24,Argentinos Jrs,Tigre
415,2013-08-24,Rosario Central,Godoy Cruz
416,2013-08-25,Olimpo Bahia Blanca,All Boys
417,2013-08-25,River Plate,Colon Santa FE
418,2013-08-26,Estudiantes L.P.,Boca Juniors
419,2013-08-27,Quilmes,San Lorenzo
420,2013-08-27,Newells Old Boys,Gimnasia L.P.
421,2013-08-31,Newells Old Boys,Estudiantes L.P.
422,2013-08-31,Tigre,Quilmes
423,2013-01-09,All Boys,Racing Club
424,2013-01-09,Gimnasia L.P.,Godoy Cruz
425,2013-01-09,Colon Santa FE,Rosario Central
426,2013-01-09,Boca Juniors,Velez Sarsfield
427,2013-02-09,San Lorenzo,River Plate
428,2013-02-09,Arsenal Sarandi,Argentinos Jrs
429,2013-02-09,Belgrano,Atl. Rafaela
430,2013-03-09,Lanus,Olimpo Bahia Blanca
431,2013-07-09,Velez Sarsfield,Newells Old Boys
432,2013-07-09,Estudiantes L.P.,Belgrano
433,2013-07-09,Godoy Cruz,Colon Santa FE
434,2013-07-09,Argentinos Jrs,All Boys
435,2013-07-09,Atl. Rafaela,Gimnasia L.P.
436,2013-08-09,Racing Club,Lanus
437,2013-08-09,Quilmes,Arsenal Sarandi
438,2013-08-09,Rosario Central,San Lorenzo
439,2013-08-09,River Plate,Tigre
440,2013-09-09,Olimpo Bahia Blanca,Boca Juniors
441,2013-09-13,Lanus,Argentinos Jrs
442,2013-09-14,Belgrano,Velez Sarsfield
443,2013-09-14,Newells Old Boys,Olimpo Bahia Blanca
444,2013-09-14,All Boys,Quilmes
445,2013-09-15,San Lorenzo,Godoy Cruz
446,2013-09-15,Atl. Rafaela,Estudiantes L.P.
447,2013-09-15,Tigre,Rosario Central
448,2013-09-15,Boca Juniors,Racing Club
449,2013-09-16,Arsenal Sarandi,River Plate
450,2013-09-17,Gimnasia L.P.,Colon Santa FE
451,2013-09-20,Godoy Cruz,Tigre
452,2013-09-21,Racing Club,Newells Old Boys
453,2013-09-21,Olimpo Bahia Blanca,Belgrano
454,2013-09-22,Rosario Central,Arsenal Sarandi
455,2013-09-22,Quilmes,Lanus
456,2013-09-22,Colon Santa FE,San Lorenzo
457,2013-09-22,Estudiantes L.P.,Gimnasia L.P.
458,2013-09-22,Argentinos Jrs,Boca Juniors
459,2013-09-23,River Plate,All Boys
460,2013-09-24,Velez Sarsfield,Atl. Rafaela
461,2013-09-27,Arsenal Sarandi,Godoy Cruz
462,2013-09-27,All Boys,Rosario Central
463,2013-09-28,Estudiantes L.P.,Velez Sarsfield
464,2013-09-28,San Lorenzo,Gimnasia L.P.
465,2013-09-28,Atl. Rafaela,Olimpo Bahia Blanca
466,2013-09-29,Newells Old Boys,Argentinos Jrs
467,2013-09-29,Tigre,Colon Santa FE
468,2013-09-29,Belgrano,Racing Club
469,2013-09-29,Boca Juniors,Quilmes
470,2013-09-30,Lanus,River Plate
471,2013-04-10,Argentinos Jrs,Belgrano
472,2013-05-10,Olimpo Bahia Blanca,Estudiantes L.P.
473,2013-05-10,Quilmes,Newells Old Boys
474,2013-06-10,San Lorenzo,Tigre
475,2013-06-10,River Plate,Boca Juniors
